text_line	strength.w=>-p	stress.s=>-u	stress.w=>-p	footmin-none	footmin-no-s-unless-preceded-by-ww	posthoc-no-final-ww	posthoc-standardize-weakpos	strength.s=>-u
en.yeats.early_line000157_old|SI|lence|BIDS|its|CHO|sen|RACE|re|JOICE	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000205_BE|ing|WE|ary|OF|the.world's|EM|pires|BOW|down|TO|you	0	4.0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000105_of.the|CALVES|on.the|WARM|hill|SIDE	3.0	0	2.0	2.0	0	0	1.0	0
en.yeats.early_line000259_and|AF|ter|RUN|ning|AT|the|BRIM	0	0	0	0	0	0	0.0	0
en.yeats.early_line000240_the|UN|av|AI|ling.out|CRIES|and.the|OLD.BIT|ter|NESS	3.0	2.0	2.0	3.0	0	0	2.0	0
en.yeats.early_line000208_of.this|DES|o.late|LAKE	0	0	0	2.0	0	0	0.0	0
en.yeats.early_line000081_AND|is|ANX|ious|IN|its|SLEEP	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000235_with|H|ere|IS|the|FI|dd|LER|of|DO|oney	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000106_OR|the|KET|tle|ON|the|HOB	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000035_go|GATH|er|BY|the|HUM|ming|SEA	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000238_MAKE|their.faint|THUN|der|AND|the|GAR|den|BEES	0	2.0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000043_for|WORDS|al|ONE|are|CER|tain|GOOD	0	0	0	0	0	0	0.0	0
en.yeats.early_line000198_BROOD|her.high|LONE|ly|MYS|ter|IES	0	2.0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000207_i|WAN|der|BY|the|EDGE	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000040_thy|FRET|ful|WORDS|a|LIT|tle|WHILE	0	0	0	0	0	0	0.0	0
en.yeats.early_line000108_or|SEE|the|BROWN|mice|BOB	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000085_FOR|the|WORLD'S|more|FULL|of|WEEP|ing|THAN|you|CAN	0	6.0	0	0	0	0	0.0	0
en.yeats.early_line000194_for|HOURS|when|ALL|must|FADE|like|DEW	0	0	0	0	0	0	0.0	0
en.yeats.early_line000135_where|PEO|ple|LOVE|be|SIDE|the|RAV|elled|SEAS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000007_of|ALL|the|MA|ny|CHANG|ing|THINGS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000015_by.the|STAM|mer.ing|SCHOOL.BOY|said	0	0	2.0	3.0	0	0	1.0	0
en.yeats.early_line000083_TO|the|WA|ters|AND|the|WILD	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000220_my|BROTH|er.in|MO|ch|AR|ab|UIEE	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000093_GIVE|them.un|QUI|et|DREAMS	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000116_the|BRIL|liant|MOON|and|ALL|the|MIL|ky|SKY	0	0	0	0	0	0	0.0	0
en.yeats.early_line000046_where|DA|ff|ODIL|and|LI|ly|WAVE	0	0	0	0	0	0	0.0	0
en.yeats.early_line000191_a|MORE|dream|HE|avy|HOUR|than|THIS	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000155_but.one|SMALL.KNOT|grass|GROW|ing|BY|the|POOL	0	2.0	2.0	2.0	0	0	1.0	0
en.yeats.early_line000070_UN|der|STAND	0	0	0	0	0	0	0	0
en.yeats.early_line000231_AND|the|MER|ry|LOVE|the|FID|dle	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000242_TA|ra.up|ROOT|ed.and|NEW.COM|mon.ness	0	0	0	4.0	0	1.0	0.0	0
en.yeats.early_line000052_WALK|ing|GHOST|ly|IN|the|DEW	0	0	0	0	0	0	0.0	0
en.yeats.early_line000102_aw|AY|with|US|he's|GO|ing	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000225_WHEN|we|COME|at.the|END|of|TIME	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000100_FOR|to|WORLD'S|more|FULL|of|WEEP|ing|THAN|you|CAN	0	6.0	0	0	0	0	0.0	0
en.yeats.early_line000073_FAR|off.by|FUR|thest|ROSS|es	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000010_WORDS|al|ONE|are|CER|tain|GOOD	0	0	0	0	0	0	0.0	0
en.yeats.early_line000267_CRY|ing.am|ID|the|GLIT|ter.ing|SEA	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000252_the.butt|END|of.a|STEER|ing|OAR	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000075_WEAV|ing|OLD|en|DAN|ces	0	0	0	0	0	0	0.0	0
en.yeats.early_line000261_it|HAD|such|DIG|ni|TY|of|LIMB	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000095_from|FERNS|that|DROP|their|TEARS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000112_WITH|a|FA|ery|HAND|in|HAND	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000214_and.the|GIR|dle.of|LIGHT|is.un|BOUND	0	0	0	3.0	0	0	0.0	0
en.yeats.early_line000076_MI|ng.ling|HANDS|and|MI|ng.ling|GLA|nces	0	0	0	2.0	0	0	2.0	0
en.yeats.early_line000193_i|HEAR|white|BEAU|ty|SIGH|ing|TOO	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000011_WHERE|are|NOW|the|WAR|ring|KINGS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000132_it|SEEMED|they|RAISED|their|LIT|tle|SIL|ver|HEADS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000270_by.the|SWEET.NAME|of|DEATH	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000049_with|MIRTH|ful|SONGS|be|FORE|the|DAWN	0	0	0	0	0	0	0.0	0
en.yeats.early_line000167_did|NOT|the|WORMS|that|SP|ired.ab|OUT|his|BONES	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000210_un|TIL|the|AX|le|BREAK	0	0	0	0	0	0	0.0	0
en.yeats.early_line000149_it|SEEMED|the|SUN|and|MOON|were|IN|the|FRUIT	0	0	0	0	0	0	0.0	0
en.yeats.early_line000065_AND|of|RED|dest|STO|len|CHER|ries	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000145_SANG|that.some|WHERE|to|NORTH|or|WEST|or|SOUTH	3.0	0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000063_THERE|we've|HID|our|FA|ery|VATS	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000221_i|PASSED|my|BROTH|er.and|CO|usin	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000269_be|CAUSE|it|HAD|such|DIG|ni|TY	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000187_where.such|GREY.CLOUDS|of.in|CENSE.ROSE	0	0	0	4.0	0	0	0.0	0
en.yeats.early_line000189_for|THAT|pale|BREAST|and|LIN|gering|HAND	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000061_where|FLAP|ping|HER|ons|WAKE	0	0	0	0	0	0	0.0	0
en.yeats.early_line000142_be|FORE|they|HEAPED|his.grave|UN|der.the|HILL	0	0	2.0	2.0	0	0	2.0	0
en.yeats.early_line000038_and|THEY|thy|COM|for|TERS|will|BE	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000077_TILL|the|MOON|has|TAK|en|FLIGHT	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000027_SAV|ing|IN|thine|OWN|heart|SEEK|then	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000251_i|SWAYED|up|ON|the|GAU|dy|STEM	0	0	0	0	0	0	0.0	0
en.yeats.early_line000223_i|READ|in.my|BOOK|of|SONGS	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000197_their|SWORDS|up|ON|their|IR|on|KNEES	0	0	0	0	0	0	0.0	0
en.yeats.early_line000202_of.un|KNOWN.PER|ish.ing|ARM|ies|BEAT|ab|OUT|my|EARS	0	0	0	3.0	0	0	2.0	0
en.yeats.early_line000180_the|LOVE|tales|WROUGHT|with|SI|lken|THREAD	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000266_CRIED|out.the|WHOLE|night|LONG	0	0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000028_no|LEARN|ing|FROM|the|STAR|ry|MEN	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000096_OV|er.the|YOUNG.STREAMS	0	0	0	2.0	0	0	0	0
en.yeats.early_line000002_and|OV|er|IS|their.an|TIQUE.JOY	0	2.0	0	2.0	0	0	1.0	0
en.yeats.early_line000133_and|SANG|what.gold|MORN|ing.or|EVE|ning|SHEDS	0	0	2.0	2.0	0	0	2.0	0
en.yeats.early_line000117_and|ALL|that|FA|mous|HAR|mo|NY|of|LEAVES	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000168_pro|CLAIM|with|THAT|u|N|w.earied|REE|dy|CRY	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000160_and|MID|night|THERE|en|FOLD|them|LIKE|a|FLEECE	3.0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000023_nor|SEEK|for|THIS|is|ALS|o|SOOTH	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000143_but|WHILE|he|PASSED|be|FORE|a|PL|ashy|PLACE	0	0	0	0	0	0	0.0	0
en.yeats.early_line000032_no|WORD|of|THEIRS|the|COLD|star|BANE	0	2.0	4.0	0	0	0	0.0	0
en.yeats.early_line000078_TO|and|FRO|we|LEAP	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000243_up|ON|the|THRONE|and|CRY|ing.ab|OUT|the|STREETS	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000125_and|ALL|that.lamen|TA|tion|OF|the|LEAVES	0	2.0	0	1.0	0	0	1.0	0
en.yeats.early_line000006_but.o|SICK.CHIL|dren|OF|the|WORLD	0	2.0	0	2.0	0	0	1.0	0
en.yeats.early_line000212_and|HANDS|hurl|IN|the|DEEP	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000206_MAS|ter|OF|the|STILL|stars|AND|of.the|FLAM|ing|DOOR	0	4.0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000055_but|AH|she|DREAMS|not.now|DREAM|thou	0	0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000128_his|HEART|hung|ALL|up|ON|a|SI|lken|DRESS	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000103_the|SO|lemn|EYED	0	0	0	0	0	0	0.0	0
en.yeats.early_line000147_UN|der.the|GOLD|en|OR|the|SIL|ver|SKIES	0	2.0	0	1.0	0	0	1.0	0
en.yeats.early_line000005_yet|STILL|she|TURNS|her|REST|less|HEAD	0	0	0	0	0	0	0.0	0
en.yeats.early_line000104_he'll|HEAR|no|MORE|the|LOW|ing	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000080_WHILE|the|WORLD|is|FULL|of|TROU|bles	0	0	0	0	0	0	0.0	0
en.yeats.early_line000021_TROU|bling.the|END|less|RE|ve|RIE	0	2.0	0	1.0	0	0	1.0	0
en.yeats.early_line000072_the|DIM|grey|SANDS|with|LIGHT	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000082_i{|COME|aw|AY|o|HU|man|CHILD	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000088_FROM|the|HILLS|ab|OVE|glen|CAR	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000173_DREAM|un|TIL|god.burn|NA|ture|WITH|a|KISS	0	2.0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000054_my|SONGS|of|OLD|earth's|DRE|amy|YOUTH	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000099_WITH|a|FA|ery|HAND|in|HAND	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000029_who|FOL|low|WITH|the|OP|tic|GLASS	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000004_grey|TRUTH|is|NOW|her|PAINT|ed|TOY	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000118_had|BLOT|ted.out|MAN'S.IM|age|AND|his|CRY	0	2.0	0	2.0	0	0	1.0	0
en.yeats.early_line000150_and|AT|that|SI|nging|HE|was|NO|more|WISE	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000256_there.was|NO.MOTH|er's|SON|but|SAID	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000062_the|DRO|wsy|WA|ter|RATS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000090_that|SCARCE|could|BATHE|a|STAR	0	0	0	0	0	0	0.0	0
en.yeats.early_line000086_UN|der|STAND	0	0	0	0	0	0	0	0
en.yeats.early_line000196_throne|OV|er|THRONE|where|IN|half|SLEEP	0	0	4.0	0	0	0	0.0	0
en.yeats.early_line000199_the|DEWS|drop|SLOW|ly.and|DREAMS.GATH|er.un|KNOWN.SPEARS	0	0	2.0	4.0	0	0	2.0	0
en.yeats.early_line000134_up|ON|a|WO|ven|WORLD|for|GOT|ten|ISLE	0	0	0	0	0	0	0.0	0
en.yeats.early_line000195_but|FLAME|on|FLAME|and|DEEP|on|DEEP	0	0	0	0	0	0	0.0	0
en.yeats.early_line000058_where|DIPS|the|RO|cky|HIGH|land	0	0	0	0	0	0	0.0	0
en.yeats.early_line000228_but|CALL|me|FIRST|through.the|GATE	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000130_be|FORE|earth|TOOK|him|TO|her|STO|ny|CARE	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000203_we|WHO|still|LAB|our|BY|the|CROM|lech|ON|the|SHORE	0	4.0	2.0	0	0	0	0.0	0
en.yeats.early_line000239_hum|IN|the|LIME|tree|FLOW|ers.and|PUT|aw|AY	0	0	4.0	1.0	0	0	1.0	0
en.yeats.early_line000047_and|I|would|PLEASE|the|HAP|less|FAUN	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000008_in|DREA|ry|DANC|ing|PAST|us|WHIRLED	0	0	0	0	0	0	0.0	0
en.yeats.early_line000151_he|MUSED|be|SIDE|the|WELL|of|SCA|navin	3.0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000013_WHERE|are|NOW|the|WAR|ring|KINGS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000218_FOLK|dance|LIKE|a|WAVE|of.the|SEA	0	0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000064_FULL|of|BER|ries	0	0	0	0	0	0	0.0	0
en.yeats.early_line000031_seek|THEN|for|THIS|is|ALS|o|SOOTH	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000091_we|SEEK|for|SLUM|ber.ing|TROUT	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000178_the|JEW|elled|CROWNS|that|KINGS|have|HURLED	0	0	0	0	0	0	0.0	0
en.yeats.early_line000057_dream|DREAM|for|THIS|is|ALS|o|SOOTH	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000030_the|WHI|rling|WAYS|of|STARS|that|PASS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000181_by|DREAM|ing|LAD|ies.up|ON.CLOTH	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000012_WORD|be|MOCK|ers|BY|the|ROOD	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000158_what|EV|er|RAV|elled|WA|ters|RISE|and|FALL	0	0	0	0	0	0	0.0	0
en.yeats.early_line000177_that|HAS|long|FAD|ed|FROM|the|WORLD	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000119_a|GIRL|ar|OSE|that|HAD|red|MOURN|ful|LIPS	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000109_ROUND|and|ROUND|the|OAT|meal|CHEST	3.0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000123_ar|OSE|and|ON|the|IN|stant|CL|am.orous|EAVES	0	2.0	0	1.0	0	0	1.0	0
en.yeats.early_line000226_to|PE|ter|SIT|ting|IN|state	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000265_and|RUN|ning|CROWD|and|GAU|dy|SHIP	0	0	0	0	0	0	0.0	0
en.yeats.early_line000229_FOR|the|GOOD|are|AL|ways.the|MER|ry	0	2.0	0	1.0	0	0	1.0	0
en.yeats.early_line000003_of|OLD|the|WORLD|on|DREAM|ing|FED	0	0	0	0	0	0	0.0	0
en.yeats.early_line000172_why|SHOULD|those|LOV|ers|THAT|no|LOV|ers|MISS	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000171_up|ON|the|DAN|cer|BY|the|DREAM|less|WAVE	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000084_WITH|a|FA|ery|HAND|in|HAND	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000127_he|STOOD|am|ONG|a|CROWD|at|DRO|mahair	3.0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000068_WITH|a|FA|ery|HAND|in|HAND	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000249_WHO|but.awa|ITS|his|HOUR|to|SHOOT|still|HANGS	0	0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000053_PI|erced|BY|my.glad|SI|nging|THROUGH	0	4.0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000246_i|AM|con|TENT|ed|FOR|i|KNOW|that|QUI|et	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000060_there|LIES|a|LEA|fy|IS|land	0	0	0	0	0	0	0.0	0
en.yeats.early_line000098_TO|to|WA|ters|AND|the|WILD	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000110_I{|for.be|COMES|the|HU|man|CHILD	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000244_and|HANG|ing.its|PA|per|FLOW|ers.from|POST|to|POST	0	0	0	2.0	0	0	2.0	0
en.yeats.early_line000169_that|GOD|has|LAID|his|FIN|gers|ON|the|SKY	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000001_the|WOODS|of|A|r|CADY|are|DEAD	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000258_up|ON|a|GAU|dy|BED	0	0	0	0	0	0	0.0	0
en.yeats.early_line000146_there|DWELT|a|GAY|ex|ULT|ing|GEN|tle|RACE	0	0	0	0	0	0	0.0	0
en.yeats.early_line000026_NEW|dreams.new|DREAMS|there.is|NO.TRUTH	0	0	2.0	3.0	0	0	0.0	0
en.yeats.early_line000204_the|GREY|cairn|ON|the|HILL|when|DAY|sinks|DROWNED|in|DEW	0	2.0	4.0	0	0	0	0.0	0
en.yeats.early_line000162_the|TALE|drove.his|FINE.AN|gry|MOOD|aw|AY	0	0	2.0	2.0	0	0	1.0	0
en.yeats.early_line000211_that|KEEPS|the|STARS|in.their|ROUND	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000025_lest|ALL|thy|TOIL|ing|ON|ly|BREEDS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000166_now|THAT|the|EARTH|had|TAK|en|MAN|and|ALL	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000245_be|CAUSE|it|IS|al|ONE|of|ALL|things|HAP|py	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000192_and|WHEN|you|SIGH|from|KISS|to|KISS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000014_an|ID|le|WORD|is|NOW|their|GLO|ry	0	0	0	0	0	0	0.0	0
en.yeats.early_line000059_of|SLEUTH|wood|IN|the|LAKE	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000124_a|CLIMB|ing|MOON|up|ON|an|EMP|ty|SKY	0	0	0	0	0	0	0.0	0
en.yeats.early_line000079_and|CHASE|the|FRO|thy|BUB|bles	0	0	0	0	0	0	0.0	0
en.yeats.early_line000139_he|WAN|dered|BY|the|SANDS|of|LI|ss|ADELL	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000022_then|NO|wise|WOR|ship|DUS|ty|DEEDS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000264_what|COULD|i.but|TAKE|up.the|SONG	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000066_i{|COME|aw|AY|o|HU|man|CHILD	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000182_that|HAS|made|FAT|the|MUR|der.ous|MOTH	0	0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000216_of|YOUR|bel|OVED|in|SLEEP	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000051_and|STILL|i|DREAM|he|TREADS|the|LAWN	0	0	0	0	0	0	0.0	0
en.yeats.early_line000050_his|SHOUT|ing|DAYS|with|MIRTH|were|CROWNED	0	0	0	0	0	0	0.0	0
en.yeats.early_line000136_that|TIME|can|NEV|er|MAR|a|LOV|er's|VOWS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000188_that|ON|ly|GOD'S|eyes|DID|not|CLOSE	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000045_i|MUST|be|GONE|there|IS|a|GRAVE	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000069_FOR|the|WORLD'S|more|FULL|of|WEEP|ing|THAN|you|CAN	0	6.0	0	0	0	0	0.0	0
en.yeats.early_line000152_he|MUSED|up|ON|his|MOCK|ers.with|OUT.FAIL	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000131_but|WHEN|a|MAN|poured|FISH|in|TO|a|PILE	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000186_through|MA|ny.a|SA|cred|COR|ri|DOR	0	2.0	0	1.0	0	0	1.0	0
en.yeats.early_line000248_am.ong|PI|geons.and|BEES|while.that|GREAT.AR|cher	3.0	0	2.0	4.0	0	0	1.0	0
en.yeats.early_line000041_till|THEY|shall|SI|nging|FADE|in|RUTH	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000222_they|READ|in.their|BOOKS|of|PRAYER	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000154_when|EA|rthy|NIGHT|had|DRUNK|his|BO|dy|IN	0	0	0	0	0	0	0.0	0
en.yeats.early_line000263_though|I'D|my|FIN|ger|ON|my|LIP	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000156_sang|WHERE|un|NE|ce|SS|ary|CRU|el|VOICE	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000254_a|CROWD|up|ON|a|SHORE	0	0	0	0	0	0	0.0	0
en.yeats.early_line000034_and|DEAD|is|ALL|their|HU|man|TRUTH	0	0	0	0	0	0	0.0	0
en.yeats.early_line000183_the|ROS|es|THAT|of|OLD|time|WERE	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000009_to.the|CRACKED.TUNE|that|CHR|onos|SINGS	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000144_a|LUG|worm|WITH|its|GREY|and|MUD|dy|MOUTH	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000176_my|HEART|up|ON|the|LOVE|li|NESS	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000044_sing|THEN|for|THIS|is|ALS|o|SOOTH	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000122_and|PROUD|as|PRI|am|MUR|dered|WITH|his|PEERS	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000163_HE|slept|UN|der.the|HILL|of|LUG|na|GALL	0	2.0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000036_some|TWIST|ed|EC|ho|HAR|bour.ing|SHELL	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000067_TO|the|WA|ters|AND|the|WILD	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000241_that|EMP|ty.the|HEART|i|HAVE|for|GOT|aw|HILE	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000164_and|MIGHT|have|KNOWN|at|LAST|un|HAUNT|ed|SLEEP	0	0	0	0	0	0	0.0	0
en.yeats.early_line000234_they|WILL|all|COME|up|TO|me	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000219_my|CO|usin.is|PRIEST.IN|kil|VAR|net	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000237_I|have|HEARD|the|PI|geons|OF|the|SEV|en|WOODS	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000140_his|MIND|ran|ALL|on|MON|ey|CARES|and|FEARS	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000213_the|BAN|ners.of|EAST|and|WEST	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000019_ON|ly.a|SUD|den|FLAM|ing|WORD	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000126_COULD|but.com|POSE|man's|IM|age|AND|his|CRY	0	2.0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000215_your|BREAST|will.not|LIE|by.the|BREAST	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000114_UN|der|STAND	0	0	0	0	0	0	0	0
en.yeats.early_line000262_by.the|SWEET.NAME|of|DEATH	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000233_and|WHEN|the|FOLK|there|SPY|me	0	0	0	0	0	0	0.0	0
en.yeats.early_line000255_and|THOUGH|i|WOULD|have|HUSHED|the|CROWD	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000074_we|FOOT|it|ALL|the|NIGHT	0	0	0	0	0	0	0.0	0
en.yeats.early_line000170_THAT|from.those|FIN|gers|GLIT|ter.ing|SUM|mer|RUNS	0	0	0	2.0	0	0	2.0	0
en.yeats.early_line000247_WAN|ders|LAUGH|ing.and|EAT|ing.her|WILD.HEART	0	0	0	3.0	0	0	1.0	0
en.yeats.early_line000165_UN|der.that|COLD|and|VA|pour|TUR|baned|STEEP	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000101_UN|der|STAND	0	0	0	0	0	0	0	0
en.yeats.early_line000016_READ|ing|SOME|en|TAN|gled|STO|ry	0	0	0	0	0	0	0.0	0
