line	strength.s=>-u	strength.w=>-p	stress.s=>-u	posthoc-no-final-ww	footmin-no-s-unless-preceded-by-ww	posthoc-standardize-weakpos	stress.w=>-p	footmin-none
line000062_I|am|THINK|ing|OF|a|CHILD'S|vow|SWORN|in|VAIN	0	0	4.0	0	0	0.0	2.0	0
line000030_though|SEV|eral|ARE|a|SIN|gle|LIGHT	0	0	2.0	0	0	0.0	0	0
line000182_it|FEARED|to|GIVE|its|LOVE|a|HURT|with|ALL|the|TEM|pest|THERE	0	0	2.0	0	0	0.0	0	0
line000035_if|THAT|be|SO	0	0	2.0	0	0	0.0	0	0
line000069_or.po|LITE.MEAN|ing.less|WORDS	0	0	0	0	0	0.0	0	3.0
line000184_i|CAN|ex|CHANGE|op|IN|ion.with|AN|y|NEIGH|bour.ing|MIND	0	0	2.0	0	0	2.0	0	2.0
line000092_so|SEN|si|TIVE|his|NA|ture|SEEMED	0	0	2.0	0	0	0.0	0	0
line000259_or|RO|cky|CIS|tern|WHERE|we|TREAD|the|CLOTHES	0	0	0	0	0	0.0	0	0
line000292_BRED|out|OF|the.con|TA|gion|OF|the|THRONG	0	0	4.0	0	0	1.0	0	1.0
line000016_all|THAT|the|BRIG|and|AP|ple|BROUGHT	0	0	0	0	0	0.0	0	0
line000128_what|IS|it.but|NIGHT.FALL	0	0	2.0	0	0	1.0	0	2.0
line000325_CON|duct.and|WORK|grow|COARSE|and|COARSE|the|SOUL	0	0	0	0	0	1.0	2.0	1.0
line000158_and|THERE|fore|I|have|SAILED|the|SEAS|and|COME	0	0	2.0	0	0	0.0	0	0
line000281_an|AGE|is|THE|re|VER|sal|OF|an|AGE	0	0	4.0	0	0	0.0	0	0
line000357_on.their|OWN.FEET|they|CAME|or.on|SHIP.BOARD	0	0	0	0	0	1.0	0	4.0
line000249_they.are|SPREAD.WIDE|that|EACH	0	0	0	0	0	1.0	0	2.0
line000003_on|GRA|ssy|MAT|tress|I|had|LAID|me	0	0	2.0	0	0	0.0	0	0
line000011_CREW|from.a|BLOS|som.ing|AP|ple|BOUGH	0	0	0	0	0	1.0	0	2.0
line000143_a|TER|ri.ble|BEAU|ty.is|BORN	0	0	0	0	0	1.0	0	2.0
line000284_what|MAT|ter|FOR|the|SCENE|the|SCENE|once|GONE	0	0	2.0	0	0	0.0	2.0	0
line000118_MI|nute.by|MI|nute.they|LIVE	0	0	0	0	0	0.0	0	2.0
line000277_a|PI|erced.boy|IM|age|OF|a|STAR|laid|LOW	0	0	2.0	0	0	1.0	4.0	1.0
line000096_he|HAD|done.most|BIT|ter|WRONG	0	0	0	0	0	1.0	0	1.0
line000055_and|OF|a|RED|haired|YEATS|whose|LOOKS|al|THOUGH|he|DIED	0	0	2.0	0	0	0.0	2.0	0
line000021_to|FIND|out|SOME|ap|PRO|pri.ate|PAIN	0	0	0	0	0	1.0	0	1.0
line000251_the|THREE|fold|TER|ror.of|LOVE|a|FALL|en|FLARE	0	3.0	0	0	0	1.0	2.0	1.0
line000160_o|SAG|es|STAND|ing|IN|god's|HOL|y|FIRE	0	0	0	0	0	0.0	2.0	0
line000202_great|WIN|dows|OP|en|TO|the|SOUTH	0	0	2.0	0	0	0.0	2.0	0
line000232_BID|me|STRIKE|a|MATCH|and|BLOW	0	0	0	0	0	0.0	0	0
line000269_BRIGHT|ness.re|MAINS|a|BRI|ghter|STAR|shoots|DOWN	0	0	2.0	0	0	1.0	2.0	1.0
line000179_it|COULD|not|BEAR|that|BUR|den.and|THERE|fore.it|WENT.MAD	0	0	0	0	0	2.0	0	3.0
line000103_a|TER|ri.ble|BEAU|ty.is|BORN	0	0	0	0	0	1.0	0	2.0
line000026_MA|ybe.the|BRIDE|bed|BRINGS|de|SPAIR	0	0	0	0	0	1.0	2.0	1.0
line000253_wings|BEAT|ing.ab|OUT|the|ROOM	0	0	0	0	0	1.0	2.0	1.0
line000028_and|FINDS|a.real|IM|age|THERE	0	0	2.0	0	0	1.0	2.0	1.0
line000006_NOT|his|NOT|mine	0	0	0	0	0	0.0	0	0
line000225_HAVE|no|EN|e|MY|but|TIME	0	0	2.0	0	0	0.0	2.0	0
line000306_their|SCHOOL|a|CROWD|his|MAS|ter|SO|li|TUDE	0	0	0	0	0	0.0	0	0
line000057_you|HEARD|that|LA|bo.uring|MAN.WHO|had|SERVED|my	0	0	0	0	0	1.0	0	2.0
line000285_it|HAD|not|TOUCHED|our|LIVES|but|POP|u.lar|RAGE	0	0	0	0	0	1.0	0	1.0
line000260_and|GATH|er|ALL|the|TALK	0	0	0	0	0	0.0	0	0
line000150_caught|IN|that|SEN|su.al|MU|sic|ALL|ne|GLECT	0	0	0	0	0	1.0	2.0	1.0
line000071_po.lite|MEAN|ing.less|WORDS	0	3.0	0	0	0	0.0	2.0	2.0
line000189_the|HEART|be|HIND|its|RIB|laughed|OUT|you.have|CALLED|me|MAD|it|SAID	0	0	2.0	0	0	1.0	2.0	1.0
line000219_two|GIRLS|in|SILK|ki|MO|nos|BOTH	0	0	0	0	0	0.0	2.0	0
line000119_the|STONE'S|in.the|MIDST|of|ALL	0	0	0	0	0	1.0	0	1.0
line000095_a|DRUNK|en.vain|GLO|ri.ous|LOUT	0	0	0	0	0	1.0	0	2.0
line000231_THEY|con|VICT|ed|US|of|GUILT	0	0	4.0	0	0	0.0	0	0
line000223_WITH|a|COM|mon|WRONG|or|RIGHT	0	0	2.0	0	0	0.0	0	0
line000022_AYE|though.all|PAS|sion's|IN|the|GLANCE	0	0	0	0	0	1.0	0	1.0
line000114_a|HORSE|hoof|SLIDES|on.the|BRIM	0	0	0	0	0	1.0	2.0	1.0
line000123_THAT|is|HEAV|en's|PART|our|PART	0	0	0	0	0	0.0	0	0
line000217_PIC|tures|OF|the|MIND|re|CALL	0	0	2.0	0	0	0.0	0	0
line000214_MA|ny.a|TIME|i|THINK|to|SEEK	0	0	0	0	0	1.0	0	1.0
line000353_though|HAM|let|RAM|bles.and|L|ear|RAG|es	0	0	0	0	0	1.0	0	1.0
line000074_to|PLEASE|a.com|PAN|ion	0	0	0	0	0	1.0	0	1.0
line000077_but|LIVED|where|MOT|ley.is|WORN	0	0	0	0	0	1.0	0	1.0
line000148_fish|FLESH|or|FOWL|com|MEND|all|SUM|mer|LONG	0	0	0	0	0	0.0	2.0	0
line000318_and|BLOOD|and|MIRE|the|SEN|si.tive|BO|dy|STAIN	0	0	0	0	0	1.0	0	1.0
line000382_de|LIGHT|to.im|AG|ine.them|SEAT|ed.there	0	0	0	1.0	0	1.0	0	3.0
line000157_MON|u|MENTS|of.its|OWN|mag|NIF|i|CENCE	0	0	4.0	0	0	1.0	0	1.0
line000320_a|GRE|ater|A|more|GRA|cious|TIME|has|GONE	0	0	2.0	0	0	0.0	0	0
line000283_we|LIVED|like|MEN|that|WATCH|a|PAINT|ed|STAGE	0	0	0	0	0	0.0	0	0
line000383_there|ON|the|MOUN|tain|AND|the|SKY	0	0	4.0	0	0	0.0	0	0
line000127_on|LIMBS|that|HAD|run|WILD	0	0	0	0	0	0.0	2.0	0
line000263_this|LOVE|that|MAKES|my|HEART'S|blood|STOP	0	0	0	0	0	0.0	2.0	0
line000137_i|WRITE|it.out|IN|a|VERSE	0	0	0	0	0	1.0	0	1.0
line000140_NOW|and.in|TIME|to|BE	0	0	0	0	0	1.0	0	1.0
line000038_MA|ybe.an|IM|age.is|TOO.STRONG	0	0	0	0	0	0.0	0	3.0
line000041_IN|the|FOR|bid.den|SA|cred|GROVE	0	0	0	0	0	1.0	0	1.0
line000362_who|HAN|dled|MAR|ble|AS|if|IT|were|BRONZE	0	0	4.0	0	0	0.0	0	0
line000066_from|COU|nter.or|DESK|am|ONG|grey	0	0	0	0	0	1.0	2.0	1.0
line000229_RUN|till|ALL|the|SAG|es|KNOW	0	0	0	0	0	0.0	0	0
line000063_NEV|er.to|LEAVE|that|VAL|ley.his|FA|thers|CALLED|their|HOME	0	0	0	0	0	2.0	0	2.0
line000289_come|FIX|up|ON|me|THAT|ac|CUS|ing|EYE	0	0	0	0	0	0.0	2.0	0
line000178_should|FIND|no|BUR|den|BUT|it|SELF|and|YET|should.be|WORN|out	0	0	2.0	0	0	1.0	2.0	1.0
line000322_in|AN|cient|TOMBS|i|SIGHED|but|NOT|ag|AIN	0	0	0	0	0	0.0	0	0
line000234_the|MOON|is|STAG|ger.ing|IN|the|SKY	0	0	0	0	0	1.0	0	1.0
line000185_i|HAVE|as|HEA|lthy|FLESH|and|BLOOD|as|AN|y|RH|ymer's|HAD	0	0	0	0	0	0.0	0	0
line000352_TR|ag.edy|WROUGHT|to.its|UT|ter|MOST	0	0	0	0	0	1.0	0	2.0
line000027_for|EACH|an.im|AG|ined|IM|age|BRINGS	0	0	0	0	0	1.0	0	1.0
line000162_COME|from.the|HOL|y|FIRE|perne|IN|a|GY|re	0	0	0	0	0	1.0	2.0	1.0
line000018_he.that|CROWED|out.et|ER|ni.ty	0	0	0	1.0	0	0.0	0	3.0
line000308_plucked|BIT|ter|WIS|dom|THAT|en|RICHED|his|BLOOD	0	0	0	0	0	0.0	2.0	0
line000262_this|FALL|en|STAR|my|MILK|sus|TAINS	0	0	0	0	0	0.0	0	0
line000125_AS|a|MOTH|er|NAMES|her|CHILD	0	0	2.0	0	0	0.0	0	0
line000327_LOV|ers.of|HORS|es|AND|of|WO|men|SHALL	0	0	2.0	0	0	1.0	0	1.0
line000361_no|HAND|i|WORK|of|CA|ll|IM|achus	0	0	0	0	0	0.0	2.0	0
line000337_THAT|if|NOTH|ing|DRAS|tic.is|DONE	0	0	0	0	0	1.0	0	1.0
line000311_for|BEAU|ty|DIES|of|BEAU|ty|WORTH|of|WORTH	0	0	0	0	0	0.0	0	0
line000174_to|LORDS|and|LAD|ies|OF|by|ZA|nt|IUM	0	0	4.0	0	0	0.0	0	0
line000005_i|SUD|den.ly|CRIED|out|IN|a|STRANGE|tongue	0	0	0	0	0	1.0	2.0	1.0
line000194_and|ALL|those|LIES|have|BUT|one|END|poor|WRETCH|es|TO|be|TRAY	0	0	4.0	0	0	0.0	2.0	0
line000105_through|SUM|mer.and|WIN|ter|SEEM	0	0	0	0	0	1.0	0	1.0
line000078_all|CHANGED|changed|UT|ter|LY	0	0	2.0	0	0	0.0	2.0	0
line000345_the|GREAT|stage|CUR|tain.ab|OUT|to|DROP	0	0	0	0	0	1.0	2.0	1.0
line000075_AROUND|the|FIRE|at.the|CLUB	0	0	0	0	0	1.0	0	1.0
line000258_CHIM|ney|COR|ner|GAR|den|WALK	0	0	0	0	0	0.0	0	0
line000115_and.a|HORSE.PLASH|es.with|IN|it	0	0	0	0	0	1.0	0	3.0
line000093_so|DAR|ing.and|SWEET|his|THOUGHT	0	0	0	0	0	1.0	0	1.0
line000298_HAD|de|VA|le.ra|EAT|en.pa|RNELL'S.HEART	0	0	0	0	0	1.0	0	3.0
line000147_the|SA|lmon|FALLS|the|MACK|er.el|CROWD|ed|SEAS	0	0	0	0	0	1.0	0	1.0
line000010_there|ON|rep|LIED|a|COCK|er|EL	0	0	2.0	0	0	0.0	0	0
line000172_to|KEEP|a|DRO|wsy|EM|per|OR|aw|AKE	0	0	2.0	0	0	0.0	0	0
line000152_an|AG|ed|MAN|is|BUT|a|PAL|try|THING	0	0	2.0	0	0	0.0	0	0
line000305_had|EV|en.o'|DU|ffy|BUT|i|NAME|no|MORE	0	0	2.0	0	0	1.0	2.0	1.0
line000297_the|REST|i|PASS|one|SEN|tence|I|un|SAY	0	0	2.0	0	0	0.0	0	0
line000340_un|TIL|the|TOWN|lie|BEAT|en|FLAT	0	0	0	0	0	0.0	2.0	0
line000275_a|BEAU|ti.ful|SEAT|ed|BOY|a|SA|cred|BOW	0	0	0	0	0	1.0	0	1.0
line000241_FIRST|trod|ON|the|MOUN|tain's|HEAD	0	0	2.0	0	0	0.0	2.0	0
line000282_when|STRAN|gers|MUR|dered|EM|met.fit|ZGE|rald|TONE	0	0	0	0	0	1.0	0	1.0
line000248_BLENCHED|by|THAT|ma|LI|cious|DREAM	0	0	0	0	0	0.0	0	0
line000387_their|EYES|mid|MA|ny|WRIN|kles.their|EYES	0	0	0	0	0	1.0	2.0	1.0
line000108_the|HORSE|that|COMES|from.the|ROAD	0	0	0	0	0	1.0	0	1.0
line000207_the|OLD|er|IS|con|DEMNED|to|DEATH	0	0	2.0	0	0	0.0	0	0
line000291_all|THAT|was|SAID|in|IR|el|AND|is.a|LIE	0	0	2.0	0	0	1.0	0	1.0
line000023_for|EV|ery|NERVE|and|TESTS|a|LO|ver	0	0	0	0	0	0.0	0	0
line000374_CAR|ries.a|MU|si.cal|IN|stru.ment	0	0	0	1.0	0	0.0	0	3.0
line000111_MI|nute.by|MI|nute.they|CHANGE	0	0	0	0	0	0.0	0	2.0
line000323_what|MAT|ter|OUT|of|CAV|ern|COMES|a|VOICE	0	0	2.0	0	0	0.0	0	0
line000094_this|OTH|er|MAN|i|HAD|dreamed	0	0	0	0	0	0.0	2.0	0
line000177_up|ON|the|NOR|man|UP|land.or|IN|that|POP|lar|SHADE	0	0	0	0	0	1.0	0	1.0
line000321_for|PAINT|ed|FORMS|or|BOX|es.of|MAKE|up	0	0	0	0	0	1.0	0	1.0
line000324_and|ALL|it|KNOWS|is|THAT|one|WORD|re|JOICE	0	0	0	0	0	0.0	0	0
line000141_wher|EV|er|GREEN|is|WORN	0	0	0	0	0	0.0	0	0
line000242_WHAT|stir|RAN|through.the|COUN|try|SIDE	0	0	0	0	0	1.0	2.0	1.0
line000039_or|MA|ybe|IS|not|STRONG|en|OUGH	0	0	2.0	0	0	0.0	0	0
line000334_they.are|SICK|of.the|PA|lette.and|FID|dle|BOW	0	0	0	0	0	1.0	0	3.0
line000335_of|PO|ets|THAT|are|AL|ways|GAY	0	0	0	0	0	0.0	0	0
line000104_HEARTS|with.one|PUR|pose.al|ONE	0	0	0	0	0	0.0	0	2.0
line000294_leave|NOTH|ing|BUT|the|NOTH|ings|THAT|be|LONG	0	0	2.0	0	0	0.0	2.0	0
line000254_the|TER|ror|OF|all|TER|rors|THAT|i|BORE	0	0	2.0	0	0	0.0	0	0
line000215_one|OR|the|OTH|er|OUT|and|SPEAK	0	0	4.0	0	0	0.0	0	0
line000130_was.it|NEED|less.death|AF|ter|ALL	0	0	0	0	0	1.0	2.0	2.0
line000211_some|VAGUE|ut|OP|ia||and.she|SEEMS	0	0	2.0	0	0	1.0	0	1.0
line000256_HAD|i.not|FOUND|con|TENT|am|ONG|the|SHOWS	0	0	0	0	0	1.0	0	1.0
line000146_those|DY|ing|GEN|er|A|tions|AT|their|SONG	0	0	0	0	0	0.0	0	0
line000293_SAV|ing.the|RHYME|rats|HEAR|be|FORE|they|DIE	0	0	0	0	0	1.0	2.0	1.0
line000303_or|LACK|ing.that|GOV|ern.ment|IN|such|HANDS	0	0	0	0	0	2.0	0	2.0
line000302_im|AG|in|AT|ion|HAD|been|SAT|is|FIED	0	0	0	0	0	0.0	0	0
line000206_BLOS|som|FROM|the|SUM|mer's|WREATH	0	0	2.0	0	0	0.0	0	0
line000358_CA|mel|BACK|horse|BACK|ass|BACK|mule|BACK	0	0	0	0	0	0.0	6.0	0
line000384_on|ALL|the|TRAG|ic|SCENE|they|STARE	0	0	0	0	0	0.0	0	0
line000051_the|COM|fort|THAT|you|MADE|al|THOUGH|my|WITS|have|GONE	0	0	0	0	0	0.0	0	0
line000007_who|UN|der|STOOD	0	0	0	0	0	0.0	0	0
line000072_and|THOUGHT|be|FORE|i|HAD|done	0	0	0	0	0	0.0	0	0
line000054_and|OF|a|MID|dle|TON|whose|NAME|you|NEV|er|HEARD	0	0	4.0	0	0	0.0	0	0
line000044_but.the|CRUSHED.GRASS|where.we|HAVE.LAIN	0	0	0	0	0	0.0	0	4.0
line000339_PITCH|like.king|BIL|ly|BOMB|balls|IN	0	0	0	0	0	1.0	4.0	1.0
line000213_an|IM|age|OF|such|POL|i|TICS	0	0	2.0	0	0	0.0	0	0
line000233_CRAZED|through|MUCH|child|BEAR|ing	0	0	0	0	0	0.0	2.0	0
line000280_stamped|BOY|and|TREE|up|ON|s|I|c.ilian|COIN	0	0	0	0	0	1.0	2.0	1.0
line000091_he|MIGHT|have|WON|fame|IN|the|END	0	0	0	0	0	0.0	2.0	0
line000110_from|CLOUD|to|TUM|bling|CLOUD	0	0	0	0	0	0.0	0	0
line000312_and|AN|cient|LI|ne|AM|ents.are|BLOT|ted|OUT	0	0	4.0	0	0	1.0	0	1.0
line000388_their|AN|cient|GLIT|ter.ing|EYES|are|GAY	0	0	0	0	0	1.0	0	1.0
line000230_we.the|GREAT.GAZE|bo|BUILT	0	0	0	0	0	1.0	0	2.0
line000240_WHEN|she|IN|all.her|VI|rg.inal|PRIDE	0	0	0	0	0	1.0	0	2.0
line000070_or.have|LIN|gered.aw|HILE|and|SAID	0	0	0	0	0	1.0	0	2.0
line000106_en|CHANT|ed|TO|a|STONE	0	0	2.0	0	0	0.0	0	0
line000019_THOUGHT|to.have|CROWED|it|IN|ag|AIN	0	0	0	0	0	1.0	0	1.0
line000237_we|GROPE|and|GROPE|in|VAIN	0	0	0	0	0	0.0	0	0
line000300_no|CIV|il|RAN|cour|TORN|the|LAND|ap|ART	0	0	0	0	0	0.0	2.0	0
line000355_up|ON|a|HUN|dred|THOU|sand|STA|ges	0	0	0	0	0	0.0	0	0
line000133_we|KNOW|their|DREAM|en|OUGH	0	0	0	0	0	0.0	0	0
line000161_as|IN|the|GOLD|mo|SA|ic|OF|a|WALL	0	0	2.0	0	0	0.0	0	0
line000381_those|CHI|na|MEN|climb|TOWARDS|and|I	0	0	2.0	0	0	0.0	2.0	0
line000151_MON|u|MENTS|of.un|AGE|ing|IN|tel|LECT	0	0	2.0	0	0	1.0	0	1.0
line000272_re|CALL|the|CRE|tan|BARB|that|PI|erced.a|STAR	0	0	0	0	0	1.0	0	1.0
line000129_no|NO|not|NIGHT|but|DEATH	0	0	0	0	0	0.0	2.0	0
line000002_LAST|night.where|UN|der.the|WILD.MOON	0	0	0	0	0	0.0	2.0	3.0
line000346_if|WOR|thy.their|PRO|min.ent|PART|in.the|PLAY	0	0	0	0	0	1.0	0	3.0
line000037_al|THOUGH|he|THOUGHT|it|WORTH|a|CROW	0	0	0	0	0	0.0	0	0
line000216_of|THAT|old|GEOR|gian|MAN|sion|MIX	0	0	0	0	0	0.0	2.0	0
line000344_YET|they|SHOULD|the|LAST|scene|BE|there	0	0	0	0	0	0.0	2.0	0
line000295_TO|this|BARE|soul|LET|all|MEN|judge|THAT|can	0	0	2.0	0	0	0.0	4.0	0
line000338_AE|ro|PLANE|and|ZE|pp|ELIN|will|COME|out	0	0	0	0	0	0.0	0	0
line000246_our|HANDS|are|BLENCHED|our|FIN|gers|SEEM	0	0	0	0	0	0.0	0	0
line000171_of|HAM|mered|GOLD|and|GOLD|en|AM|el|LING	0	0	2.0	0	0	0.0	0	0
line000204_BEAU|ti|FUL|one|A|ga|ZELLE	0	0	4.0	0	0	0.0	0	0
line000205_BUT|a|RAV|ing|AU|tumn|SHEARS	0	0	2.0	0	0	0.0	0	0
line000347_DO|not|BREAK|up.their|LINES|to|WEEP	0	0	0	0	0	1.0	0	1.0
line000196_o|BUT|her|HEART|would|BREAK|to|LEARN|my|THOUGHTS|are|FAR|aw|AY	0	0	2.0	0	0	0.0	0	0
line000153_a|TAT|tered|COAT|up|ON|a|STICK|un|LESS	0	0	0	0	0	0.0	0	0
line000265_and|BIDS|my|HAIR|stand|UP	0	0	2.0	0	0	0.0	2.0	0
line000288_up|ON|a|PAINT|ed|STAGE|when|WE|de|VO|ured.his|HEART	0	0	2.0	0	0	1.0	0	1.0
line000371_OV|er.them|FLIES|a|LONG|legged|BIRD	0	0	0	0	0	1.0	2.0	1.0
line000278_that|WO|man.the|GREAT.MOTH|er|IM|ag|ING	0	0	2.0	0	0	1.0	0	2.0
line000377_SEEMS|a|WA|ter|COURSE|or.an|AV|al|ANCHE	0	0	0	0	0	1.0	0	1.0
line000144_that.is|NO.COUN|try.for|OLD.MEN|the|YOUNG	0	0	0	0	0	1.0	0	4.0
line000364_when|SEA|wind|SWEPT|the|COR|ner|STANDS	0	0	0	0	0	0.0	2.0	0
line000356_it|CAN|not|GROW|by.an|INCH|or.an|OUNCE	0	0	0	0	0	2.0	0	2.0
line000084_what|VOICE|more|SWEET|than|HERS	0	0	2.0	0	0	0.0	0	0
line000068_i.have|PASSED|with.a|NOD|of.the|HEAD	0	0	0	0	0	0.0	0	3.0
